date,negative,neutral,positive
2009-02-14,0,1,0
2009-04-27,0,2,0
2009-04-29,0,1,0
2009-05-22,0,1,0
2009-05-27,0,0,6
2009-05-29,0,2,0
2009-05-30,0,0,3
2009-06-01,0,5,0
2009-06-02,0,2,0
2009-06-05,0,2,4
2009-06-08,0,0,3
2009-06-09,0,7,0
2009-06-15,0,3,0
2009-06-16,0,0,3
2009-06-19,0,5,0
2009-06-22,0,0,1
2009-06-28,0,0,2
2009-06-30,0,0,3
2009-07-07,0,2,0
2009-07-08,0,2,0
2009-07-10,0,1,0
2009-07-14,0,3,0
2009-07-15,0,2,0
2009-07-16,0,1,0
2009-07-17,0,1,0
2009-07-21,0,3,4
2009-07-24,0,1,0
2009-07-27,3,40,11
2009-07-30,0,1,0
2009-08-01,0,1,0
2009-08-03,0,0,1
2009-08-04,4,3,0
2009-08-06,1,45,3
2009-08-07,19,497,128
2009-08-08,0,7,0
2009-08-09,2,19,14
2009-08-10,25,833,272
2009-08-11,0,27,21
2009-08-12,24,402,106
2009-08-13,23,470,158
2009-08-16,2,76,27
2009-08-17,8,108,42
2009-08-18,0,5,1
2009-08-19,0,2,1
2009-08-21,1,4,2
2009-08-22,0,3,1
2009-08-23,0,5,1
2009-08-24,0,9,0
2009-08-25,1,31,6
2009-08-26,0,15,5
2009-08-27,2,39,11
2009-08-28,33,24,3
2009-08-29,0,8,2
2009-08-30,0,7,3
2009-08-31,7,28,5
2009-09-01,7,23,6
2009-09-02,0,23,16
2009-09-03,4,43,13
2009-09-04,1,17,7
2009-09-05,0,2,3
2009-09-06,0,5,1
2009-09-07,0,21,4
2009-09-08,3,60,22
2009-09-09,1,63,6
2009-09-10,6,45,19
2009-09-11,3,39,7
2009-09-12,2,6,0
2009-09-13,0,17,5
2009-09-14,3,40,18
2009-09-15,6,42,19
2009-09-16,6,27,17
2009-09-17,4,22,6
2009-09-18,4,21,11
2009-09-20,0,1,0
2009-09-21,4,28,17
2009-09-22,1,25,12
2009-09-23,4,25,9
2009-09-24,1,21,10
2009-09-25,3,16,4
2009-09-27,0,7,0
2009-09-28,4,15,7
2009-09-29,2,21,8
2009-09-30,3,13,16
2009-10-01,3,26,4
2009-10-02,2,17,6
2009-10-04,0,5,1
2009-10-05,5,32,17
2009-10-06,8,36,12
2009-10-07,4,24,11
2009-10-08,6,41,28
2009-10-09,2,16,9
2009-10-11,0,3,3
2009-10-12,7,16,11
2009-10-13,2,21,19
2009-10-14,1,23,13
2009-10-15,3,26,7
2009-10-16,0,6,3
2009-10-18,0,17,1
2009-10-19,1,45,10
2009-10-20,5,40,14
2009-10-21,7,30,15
2009-10-22,4,41,19
2009-10-23,6,37,24
2009-10-24,3,5,3
2009-10-25,0,6,0
2009-10-26,11,66,25
2009-10-27,8,72,16
2009-10-28,12,74,25
2009-10-29,8,75,35
2009-10-30,1,59,30
2009-10-31,0,1,0
2009-11-01,0,3,0
2009-11-02,15,67,22
2009-11-03,4,74,13
2009-11-04,4,82,24
